//コマンド,type,posX,posY,posZ(,敵ごとに必要なコマンド)
POP,6,0,0,415,320,173,0,40,0,0,0,0.05,0.2,0,3
POP,6,-8,45,-265,120,22,43,10,0,0,0,0.05,0.2,0,3
POP,6,60,50,-215,20,222,4,10,0,0,0,0.05,0.2,0,3
POP,6,15,-40,-115,50,0,140,6,0,0,0,0.05,0.2,0,3
POP,6,5,35,-15,14,12,20,5,0,0,0,0.05,0.2,0,3
POP,6,0,24,15,76,34,340,2,0,0,0,0.05,0.2,0,3
POP,6,-40,-20,-215,20,222,7,10,0,0,0,0.05,0.2,0,3
POP,6,-200,40,-215,20,121,7,10,0,0,0,0.05,0.2,0,3
POP,6,-53,-40,-115,50,0,140,5,0,0,0,0.05,0.2,0,3
POP,6,-55,35,-15,14,12,20,8,0,0,0,0.05,0.2,0,3
POP,6,-60,24,15,76,34,340,2,0,0,0,0.05,0.2,0,3
POP,6,-62,0,115,30,86,20,5,0,0,0,0.05,0.2,0,3
POP,6,-65,-12,215,30,50,10,4,0,0,0,0.05,0.2,0,3
POP,6,-70,40,315,20,30,250,6,0,0,0,0.05,0.2,0,3
POP,6,15,-40,575,76,34,340,10,0,0,0,0.05,0.2,0,3
POP,6,60,-60,405,321,34,3,12,0,0,0,0.05,0.2,0,3
POP,6,120,90,515,31,334,32,12,0,0,0,0.05,0.2,0,3
POP,6,-100,80,555,31,53,239,7,0,0,0,0.05,0.2,0,3
POP,6,-170,-140,615,31,334,32,12,0,0,0,0.05,0.2,0,3
